QuestionID	QuestionNumber	QuestionText	Answer	Topic	Source	Author Full Name	TourName	TourLink
79	5	Раньше ТАК называли апрель, а теперь он ассоциируется с январем — февралем.	Водолей	МЕСЯЦЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
80	1	ЭТО является ответом на самую известную загадку, в которой упоминается гвоздь.	Ножницы	ГВОЗДИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
81	2	По ЭТОЙ причине староверы строили свои дома без помощи гвоздей.	Христа распяли	ГВОЗДИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
82	3	"ОН говорил: ""История — это гвоздь, на который я вешаю свои романы""."	А. Дюма	ГВОЗДИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
83	4	"Эстонцы называют ЕЕ ""Пыхьянаэл"" — ""северный гвоздь""."	Полярная звезда	ГВОЗДИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
84	5	"""Он сел на пол..., и с хладнокровием дантиста стал выдергивать медные гвозди... На 62 гвозде работа его кончилась"". А кто работал?"	Киса Воробьянинов	ГВОЗДИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
85	1	Сова была символом ЭТОЙ греческой богини.	Афина	СОВЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
86	2	"ЕГО другое название ""совиный попугай""."	Какапо	СОВЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
87	3	Предисловие к ЭТОЙ книге написала сова.	Тиль Уленшпигель	СОВЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
88	4	ТАК называется самая крупная разновидность совы.	Неясыть	СОВЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
89	5	"САВА могла написать слово ""ВТОРНЕК"" так, что было понятно, что... Закончите цитату."	"""... это не СРЕДА"""	СОВЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
90	1	Благодаря ЕМУ Сократ смог оказаться в Хельсинки.	Мартти Ларни	МОЯ ФИНЛЯНДИЯ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
91	2	ОН стал президентом Финляндии 4 августа 1944. Новоиспеченному президенту было 77 лет.	Маннергейм	МОЯ ФИНЛЯНДИЯ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
92	3	С ЭТИМ полуостровом связаны героические страницы истории и Северной войны, и Великой Отечественной.	Гангут (Ханко)	МОЯ ФИНЛЯНДИЯ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
93	4	Финский город Турку шведы называют ЭТИМ трехбуквенным словом.	Або	МОЯ ФИНЛЯНДИЯ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
94	5	ЭТИМ техническим термином в одной из передач КВН охарактеризовали финскую кошку.	Ручной тормоз	МОЯ ФИНЛЯНДИЯ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
95	1	"Скажите по-латыни ""семья""."	Фамилия	СЕМЬИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
96	2	А теперь по-итальянски.	Мафия	СЕМЬИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
97	3	Русский язык относится именно к ЭТОЙ семье.	Индоевропейской	СЕМЬИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
98	4	Во времена ЭТОГО императора преступников наказывали вместе со всей семьей. Направляли на строительство Великой стены.	Шихуанди	СЕМЬИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
99	5	Родоначальник ЭТОЙ семьи мастеров создал классический тип скрипки.	Амати (Андреа)	СЕМЬИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
100	1	Если рояль можно найти в кустах, то слона часто можно встретить в ЭТОМ заведении.	Посудная лавка	СЛОНЫ И РОЯЛИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
101	2	Для изготовления ЭТИХ деталей рояля использовали слоновую кость.	Белых клавиш	СЛОНЫ И РОЯЛИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
102	3	ОНА очень мало могла вспомнить о слонах и роялях.	Алиса	СЛОНЫ И РОЯЛИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
103	4	"Один мудрец задавался вопросом: ""Почему если можно заслонить рояль, нельзя..."""	"""... зароялить слона?"""	СЛОНЫ И РОЯЛИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
104	5	"""Хромой, жаждущий танцевать, черный слон-рояль. По мановению десяти пальцев, ценою многолетней дрессировки, стоящий на трех ногах..."" Так писал в своем стихотворении ЭТОТ отечественный джазмен."	Герман Лукьянов	СЛОНЫ И РОЯЛИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
105	1	ИХ нахождение в одной банке не сулит ничего хорошего.	Пауки	ДВА В ОДНОМ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
106	2	Имя ЭТОЙ женщины-змеи получило безобидное сумчатое.	Ехидна	ДВА В ОДНОМ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
107	3	Название ЭТОЙ группы образовано из двух слов, китайского и арабского.	Чай-Ф	ДВА В ОДНОМ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
108	4	"Роман ""Мастер и Маргарита"" являет собой типичный пример ЭТОГО литературного приема."	Контаминация	ДВА В ОДНОМ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
109	5	По словам Доде, Тартарен объединял в себе ЭТИХ двух персонажей одного литературного произведения.	Дон Кихот и Санчо Панса	ДВА В ОДНОМ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
110	1	ЭТО ближайшая к Солнцу звезда.	Проксима Центавра (не Альфа)	...ЦЕНТ..	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
111	2	Обладатель ЭТОЙ степени не обладал большим интеллектом.	Доцент	...ЦЕНТ..	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
112	3	Сто катренов у Нострадамуса составляют...	Центурию	...ЦЕНТ..	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
113	4	Знак ударения называют еще и ТАК.	Акцент	...ЦЕНТ..	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
114	5	Вместе с НЕЙ погибла и ее сестра — Лиза.	Старуха-процентщица	...ЦЕНТ..	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
115	1	"С ЭТОЙ селедкой нас познакомили ""Иваси""."	Селедка Таня	СЕЛЕДКА	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
116	2	Другое ЕГО название Финвал.	Сельдяной кит	СЕЛЕДКА	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
117	3	"Именно к ЭТОМУ слову Незнайка подобрал рифму ""селедка""."	Палка	СЕЛЕДКА	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
118	4	"Натюрморт ""Селедка"", принадлежащий ЭТОМУ Кузьме, — одна из жемчужин Русского музея."	Петров-Водкин	СЕЛЕДКА	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
119	5	По словам А. Вознесенского, ни один художник не был более поэтом, чем ЭТОТ сын селедочника.	М.З. Шагал	СЕЛЕДКА	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
120	1	В известной эпиграмме Евтушенко именно ЭТО слово рифмуется с именем Евгений.	Гений	ЕВГЕНИИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
121	2	В испанский аналог имени Евгений — Эухенио, а французский?	Эжен	ЕВГЕНИИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
122	3	Автором сценария ЭТОГО, дважды подходящего для нашей темы, фильма был Булат Окуджава.	"""Женя, Женечка и Катюша"""	ЕВГЕНИИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
123	4	В 1697 году ОН получил чин генералиссимуса.	Евгений Савойский	ЕВГЕНИИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
124	5	"По поводу произношения своей фамилии, ОН говорил: ""Я не француз, я — еврей!""."	Евгений ТАрле	ЕВГЕНИИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
125	1	Каштан дал название ЭТОМУ музыкальному инструменту.	Кастаньеты	КАШТАНЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
